MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,num_stars,num_genres
The Unlisted,2019.0,"Family, Sci-Fi, Thriller",0.6363636363636364,Twelve-year-old identical twins Dru and Kal discover that the government is secretly tracking and manipulating Australia's youth via electronic tracking devices.,"Stars: Vrund Rao,  Ved Rao,  Abigail Adriano,  Miah Madden",0.00040454798330203393,0.10938069691129759,0.012192218408364914,4,3
The American Barbecue Showdown,2020.0,Reality-TV,0.6931818181818181,Food competition that follows the country's best backyard smokers and competitive barbecuers as they compete for the title of American Barbecue Champion.,"Stars: Kevin Bludso,  Melissa Cookston,  Lyric Lewis,  Rutledge Wood",0.000555742684132087,0.307307672274598,0.012192218408364914,4,1
Sword Art Online Alternative: Gun Gale Online,2018.0,"Animation, Action, Adventure",0.6590909090909091,"Karen Kohiruimaki always felt out of place in the real world. Due to her extreme height, she found it hard to make friends with other girls her age. Everything changes when she's introduced...                See full summary »","Stars: Tomori Kusunoki,  Yôko Hikasa,  Kazuyuki Okitsu,  Morgan Berry",0.001075292042196748,0.11979790614094499,0.012192218408364914,4,3
Dime Cuándo Tú,2020.0,Comedy,0.5340909090909091,"After his grandpa's passing, Mexican-American Will decides to go ahead with the plans he'd made to help him discover his roots in Mexico.","Director: Gerardo Gatica González |      Stars: Héctor Bonilla,  Ofelia Reyes Botello,  Brett Calo,  Manolo Caro",0.0004308173328671011,0.48960883379342734,0.012192218408364914,4,1
Radio Rebel,2012.0,"Comedy, Drama, Family",0.5454545454545455,"Tara, a painfully shy high-schooler, has a secret: she is also a confident DJ known as Radio Rebel, who lends her voice to others.","Director: Peter Howitt |      Stars: Debby Ryan,  Sarena Parmar,  Adam DiMarco,  Atticus Mitchell",0.0052602913095737775,0.43752278764519037,0.012192218408364914,4,3
7 Prisioneiros,2021.0,Drama,0.6818181818181818,"To provide a better life for his family, 18-year-old Mateus accepts a job in a junkyard São Paulo, where he and a few other boys become trapped in the dangerous world of human trafficking.","Director: Alexandre Moratto |      Stars: Rodrigo Santoro,  Christian Malheiros,  Lucas Oranmian",0.0004597136173886749,0.46356581071930886,0.012192218408364914,3,1
Eating Out: The Open Weekend,2011.0,Comedy,0.5,"Zack is gaycationing in Palm Springs with new BF Benji who, to Zack's dismay, wants to try an open relationship. Adding confusion is Casey, Zack's ex, with Peter, his fake BF, plus Casey's fruity friend, Penny, and Zack's friend Lilly.","Director: Q. Allan Brocka |      Stars: Aaron Milo,  Chris Puckett,  Chris Salvatore,  Harmony Santana",0.0013263102713740563,0.4218969738007193,0.012192218408364914,4,1
Loaded,2017.0,"Comedy, Drama",0.6249999999999999,"Four friends who become multi-millionaires when they sell their video game company for a clean £246 million and overnight, the four friends are transformed from ""people who play games"" to ""serious players in the game..."" - or are they?","Stars: Jim Howick,  Samuel Anderson,  Nick Helm,  Jonny Sweet",0.0007524709242082565,0.2083441845929478,0.012192218408364914,4,2
Christmas on the Square,2020.0,"Comedy, Family, Musical",0.46590909090909094,"An embittered ""Scrooge"" of a woman plans to sell her small town, regardless of the consequences to the people who live there.","Director: Debbie Allen |      Stars: Dolly Parton,  Jenifer Lewis,  Josh Segarra,  Jeanine Mason",0.0013041272650746662,0.5052346476378985,0.012192218408364914,4,3
On the Verge,2021.0,Comedy,0.6818181818181818,A look a life for a group of women in their forties.,"Stars: Julie Delpy,  Sarah Jones,  Alexia Landeau,  Elisabeth Shue",0.0004597136173886749,0.307307672274598,0.012192218408364914,4,1
